table_name,field_name,field_type,nullable,primary_key,default_value,comment,category
sys_user,user_id,INTEGER,NO,YES,auto_increment,主键,系统表
sys_user,username,VARCHAR(50),NO,NO,,用户名,系统表
sys_user,password,VARCHAR(100),NO,NO,,密码,系统表
sys_user,real_name,VARCHAR(50),NO,NO,,姓名,系统表
sys_user,employee_no,VARCHAR(50),YES,NO,,工号,系统表
sys_user,department,VARCHAR(50),YES,NO,,部门,系统表
sys_user,position,VARCHAR(50),YES,NO,,岗位,系统表
sys_user,role_id,INTEGER,YES,NO,,角色ID,系统表
sys_user,phone,VARCHAR(20),YES,NO,,手机号,系统表
sys_user,email,VARCHAR(100),YES,NO,,邮箱,系统表
sys_user,avatar_url,VARCHAR(255),YES,NO,,头像地址,系统表
sys_user,status,TINYINT,YES,NO,1,状态(1启用/0禁用),系统表
sys_user,last_login_time,DATETIME,YES,NO,,最后登录时间,系统表
sys_user,last_login_ip,VARCHAR(45),YES,NO,,最后登录IP,系统表
sys_user,pwd_reset_required,TINYINT,NO,NO,0,首次登录需修改密码,系统表
sys_user,created_by,VARCHAR(50),YES,NO,,创建人,系统表
sys_user,remarks,VARCHAR(500),YES,NO,,备注,系统表
sys_user,created_at,DATETIME,YES,NO,,创建时间,系统表
sys_user,updated_at,DATETIME,YES,NO,,更新时间,系统表
sys_role,role_id,INTEGER,NO,YES,auto_increment,主键,系统表
sys_role,role_name,VARCHAR(50),NO,NO,,角色名称,系统表
sys_role,role_code,VARCHAR(50),NO,NO,,角色编码,系统表
sys_role,type,VARCHAR(20),YES,NO,,类型,系统表
sys_role,is_system_default,TINYINT,NO,NO,0,是否系统默认角色,系统表
sys_role,description,VARCHAR(200),YES,NO,,描述,系统表
sys_role,scope,VARCHAR(50),YES,NO,,数据范围,系统表
sys_role,sort_order,INTEGER,YES,NO,0,排序号,系统表
sys_role,status,TINYINT,YES,NO,1,状态(1启用/0禁用),系统表
sys_role,created_at,DATETIME,YES,NO,,创建时间,系统表
sys_role,updated_at,DATETIME,YES,NO,,更新时间,系统表
sys_permission,perm_id,INTEGER,NO,YES,auto_increment,主键,系统表
sys_permission,parent_id,INTEGER,YES,NO,0,父级ID,系统表
sys_permission,perm_name,VARCHAR(50),NO,NO,,权限名称,系统表
sys_permission,perm_code,VARCHAR(100),NO,NO,,权限编码,系统表
sys_permission,type,VARCHAR(20),NO,NO,menu,类型(menu/button),系统表
sys_permission,icon,VARCHAR(100),YES,NO,,图标,系统表
sys_permission,path,VARCHAR(200),YES,NO,,路由路径,系统表
sys_permission,component,VARCHAR(200),YES,NO,,组件路径,系统表
sys_permission,sort_order,INTEGER,YES,NO,0,排序号,系统表
sys_permission,visible,TINYINT,NO,NO,1,是否显示(1显示/0隐藏),系统表
sys_permission,status,TINYINT,YES,NO,1,状态(1启用/0禁用),系统表
sys_permission,created_at,DATETIME,YES,NO,,创建时间,系统表
sys_role_permission,id,INTEGER,NO,YES,auto_increment,主键,系统表
sys_role_permission,role_id,INTEGER,NO,NO,,角色ID,系统表
sys_role_permission,perm_id,INTEGER,NO,NO,,权限ID,系统表
sys_operation_log,log_id,INTEGER,NO,YES,auto_increment,主键,系统表
sys_operation_log,user_id,INTEGER,YES,NO,,操作用户ID,系统表
sys_operation_log,username,VARCHAR(50),YES,NO,,用户名,系统表
sys_operation_log,module,VARCHAR(50),YES,NO,,操作模块,系统表
sys_operation_log,action,VARCHAR(50),YES,NO,,操作类型,系统表
sys_operation_log,operation,VARCHAR(100),YES,NO,,操作内容,系统表
sys_operation_log,content,TEXT,YES,NO,,操作详情,系统表
sys_operation_log,method,VARCHAR(10),YES,NO,,请求方法,系统表
sys_operation_log,params,TEXT,YES,NO,,请求参数,系统表
sys_operation_log,ip,VARCHAR(45),YES,NO,,IP地址,系统表
sys_operation_log,ip_address,VARCHAR(45),YES,NO,,IP地址,系统表
sys_operation_log,status,TINYINT,YES,NO,1,状态,系统表
sys_operation_log,created_at,DATETIME,YES,NO,,创建时间,系统表
sys_config,config_id,INTEGER,NO,YES,auto_increment,主键,系统表
sys_config,config_key,VARCHAR(100),NO,NO,,配置键,系统表
sys_config,config_value,TEXT,YES,NO,,配置值,系统表
sys_config,config_type,VARCHAR(20),NO,NO,string,配置类型,系统表
sys_config,config_group,VARCHAR(50),NO,NO,system,配置分组,系统表
sys_config,config_desc,VARCHAR(200),YES,NO,,配置描述,系统表
sys_config,updated_by,VARCHAR(50),YES,NO,,更新人,系统表
sys_config,created_at,DATETIME,YES,NO,,创建时间,系统表
sys_config,updated_at,DATETIME,YES,NO,,更新时间,系统表
sys_dict_type,dict_id,INTEGER,NO,YES,auto_increment,主键,系统表
sys_dict_type,dict_name,VARCHAR(100),NO,NO,,字典名称,系统表
sys_dict_type,dict_type,VARCHAR(100),NO,NO,,字典类型编码,系统表
sys_dict_type,status,TINYINT,NO,NO,1,状态,系统表
sys_dict_type,remark,VARCHAR(500),YES,NO,,备注,系统表
sys_dict_type,created_by,VARCHAR(50),YES,NO,,创建人,系统表
sys_dict_type,created_at,DATETIME,YES,NO,,创建时间,系统表
sys_dict_type,updated_at,DATETIME,YES,NO,,更新时间,系统表
sys_dict_data,dict_code,INTEGER,NO,YES,auto_increment,主键,系统表
sys_dict_data,dict_sort,INTEGER,NO,NO,0,排序号,系统表
sys_dict_data,dict_label,VARCHAR(100),NO,NO,,字典标签,系统表
sys_dict_data,dict_value,VARCHAR(100),NO,NO,,字典值,系统表
sys_dict_data,dict_type,VARCHAR(100),NO,NO,,字典类型编码,系统表
sys_dict_data,css_class,VARCHAR(100),YES,NO,,CSS样式,系统表
sys_dict_data,list_class,VARCHAR(100),YES,NO,,列表样式,系统表
sys_dict_data,is_default,TINYINT,NO,NO,0,是否默认,系统表
sys_dict_data,status,TINYINT,NO,NO,1,状态,系统表
sys_dict_data,remark,VARCHAR(500),YES,NO,,备注,系统表
sys_dict_data,created_at,DATETIME,YES,NO,,创建时间,系统表
sys_dict_data,updated_at,DATETIME,YES,NO,,更新时间,系统表
sys_sequence,seq_id,INTEGER,NO,YES,auto_increment,主键,系统表
sys_sequence,seq_key,VARCHAR(50),NO,NO,,序列键,系统表
sys_sequence,seq_date,VARCHAR(20),NO,NO,,序列日期,系统表
sys_sequence,current_value,INTEGER,NO,NO,0,当前序号值,系统表
sys_sequence,created_at,DATETIME,YES,NO,,创建时间,系统表
sys_sequence,updated_at,DATETIME,YES,NO,,更新时间,系统表
sys_number_rule,rule_id,INTEGER,NO,YES,auto_increment,主键,系统表
sys_number_rule,rule_name,VARCHAR(100),NO,NO,,规则名称,系统表
sys_number_rule,rule_code,VARCHAR(50),NO,NO,,规则编码,系统表
sys_number_rule,prefix,VARCHAR(20),NO,NO,,前缀,系统表
sys_number_rule,date_format,VARCHAR(20),NO,NO,YYMMDD,日期格式,系统表
sys_number_rule,separator,VARCHAR(5),NO,NO,,分隔符,系统表
sys_number_rule,seq_width,INTEGER,NO,NO,3,序号位数,系统表
sys_number_rule,reset_by,VARCHAR(20),NO,NO,daily,重置周期,系统表
sys_number_rule,target_table,VARCHAR(100),YES,NO,,关联表名,系统表
sys_number_rule,target_field,VARCHAR(100),YES,NO,,关联字段名,系统表
sys_number_rule,target_label,VARCHAR(100),YES,NO,,关联字段说明,系统表
sys_number_rule,current_no,VARCHAR(50),YES,NO,,当前最新编号,系统表
sys_number_rule,used_count,INTEGER,NO,NO,0,已使用记录数,系统表
sys_number_rule,status,TINYINT,NO,NO,1,状态(0停用/1启用),系统表
sys_number_rule,is_locked,TINYINT,NO,NO,0,是否已审核,系统表
sys_number_rule,description,VARCHAR(500),YES,NO,,规则说明,系统表
sys_number_rule,created_by,VARCHAR(50),YES,NO,,创建人,系统表
sys_number_rule,created_at,DATETIME,YES,NO,,创建时间,系统表
sys_number_rule,updated_at,DATETIME,YES,NO,,更新时间,系统表
sys_app_version,id,INTEGER,NO,YES,auto_increment,主键,系统表
sys_app_version,version,VARCHAR(50),NO,NO,,版本号,系统表
sys_app_version,platform,VARCHAR(20),YES,NO,all,平台,系统表
sys_app_version,description,TEXT,YES,NO,,更新描述,系统表
sys_app_version,download_url,VARCHAR(500),YES,NO,,下载地址,系统表
sys_app_version,is_force,TINYINT,YES,NO,0,是否强制更新,系统表
sys_app_version,is_latest,TINYINT,YES,NO,1,是否最新版本,系统表
sys_app_version,file_size,VARCHAR(50),YES,NO,,文件大小,系统表
sys_app_version,created_by,VARCHAR(50),YES,NO,,发布人,系统表
sys_app_version,created_at,DATETIME,YES,NO,,创建时间,系统表
sys_app_version,updated_at,DATETIME,YES,NO,,更新时间,系统表
sys_data_dictionary,dict_id,INTEGER,NO,YES,auto_increment,主键,系统表
sys_data_dictionary,table_name,VARCHAR(100),NO,NO,,表名,系统表
sys_data_dictionary,category,VARCHAR(50),NO,NO,业务表,分类,系统表
sys_data_dictionary,purpose,VARCHAR(500),YES,NO,,用途说明,系统表
sys_data_dictionary,field_count,INTEGER,YES,NO,0,字段数,系统表
sys_data_dictionary,record_count,INTEGER,YES,NO,0,记录数,系统表
sys_data_dictionary,fields,TEXT,YES,NO,,字段详情(JSON),系统表
sys_data_dictionary,last_update,DATETIME,YES,NO,,最后更新,系统表
sys_data_dictionary,created_at,DATETIME,YES,NO,,创建时间,系统表
sys_data_dictionary,updated_at,DATETIME,YES,NO,,更新时间,系统表
bas_material,material_id,UUID,NO,YES,UUIDV4,主键,基础数据表
bas_material,category_name,VARCHAR(50),NO,NO,,分类名称,基础数据表
bas_material,material_code,VARCHAR(50),NO,NO,,料品编码,基础数据表
bas_material,material_name,VARCHAR(200),NO,NO,,料品名称,基础数据表
bas_material,specification,VARCHAR(200),YES,NO,,规格型号,基础数据表
bas_material,unit_name,VARCHAR(50),NO,NO,,单位,基础数据表
bas_material,film_no,VARCHAR(50),YES,NO,,菲林编号,基础数据表
bas_material,version_no,VARCHAR(50),YES,NO,,版本号,基础数据表
bas_material,cutting_size,VARCHAR(50),YES,NO,,裁切尺寸,基础数据表
bas_material,printing_process,VARCHAR(50),YES,NO,,印刷工艺,基础数据表
bas_material,color_separation,VARCHAR(50),YES,NO,,分色数,基础数据表
bas_material,blanking_diameter,DECIMAL(11,2),YES,NO,,落料直径,基础数据表
bas_material,material_thickness,DECIMAL(11,2),YES,NO,,材料厚度,基础数据表
bas_material,material_width,DECIMAL(11,2),YES,NO,,材料宽度,基础数据表
bas_material,material_height,DECIMAL(11,2),YES,NO,,材料高度,基础数据表
bas_material,scrap_weight,DECIMAL(11,2),YES,NO,,废料重量,基础数据表
bas_material,unit_weight,DECIMAL(11,2),YES,NO,,单重,基础数据表
bas_material,unit_volume,DECIMAL(11,2),YES,NO,,单容积,基础数据表
bas_material,weight_unit,VARCHAR(20),YES,NO,,重量单位,基础数据表
bas_material,volume_unit,VARCHAR(20),YES,NO,,体积单位,基础数据表
bas_material,inventory_category,VARCHAR(20),YES,NO,,库存分类,基础数据表
bas_material,unit_code,VARCHAR(20),YES,NO,,单位编码,基础数据表
bas_material,customer_id,INTEGER,YES,NO,,关联客户ID,基础数据表
bas_material,is_active,BOOLEAN,NO,NO,true,是否生效,基础数据表
bas_material,effective_date,DATE,NO,NO,,生效日期,基础数据表
bas_material,expiry_date,DATE,NO,NO,,失效日期,基础数据表
bas_material,created_at,DATETIME,YES,NO,,创建时间,基础数据表
bas_material,updated_at,DATETIME,YES,NO,,更新时间,基础数据表
bas_customer,customer_id,INTEGER,NO,YES,auto_increment,主键,基础数据表
bas_customer,customer_code,VARCHAR(50),NO,NO,,客户编码,基础数据表
bas_customer,customer_name,VARCHAR(200),NO,NO,,客户名称,基础数据表
bas_customer,short_name,VARCHAR(100),YES,NO,,客户简称,基础数据表
bas_customer,customer_category,VARCHAR(50),YES,NO,,客户分类,基础数据表
bas_customer,customer_type,VARCHAR(50),YES,NO,,客户类型,基础数据表
bas_customer,contact_person,VARCHAR(50),YES,NO,,联系人,基础数据表
bas_customer,phone,VARCHAR(50),YES,NO,,联系电话,基础数据表
bas_customer,email,VARCHAR(100),YES,NO,,邮箱,基础数据表
bas_customer,address,VARCHAR(300),YES,NO,,联系地址,基础数据表
bas_customer,status,TINYINT,NO,NO,1,状态(1启用/0停用),基础数据表
bas_customer,effective_date,DATE,YES,NO,,生效日期,基础数据表
bas_customer,expiry_date,DATE,YES,NO,,失效日期,基础数据表
bas_customer,credit_level,VARCHAR(20),YES,NO,,信用等级,基础数据表
bas_customer,tax_id,VARCHAR(50),YES,NO,,纳税人识别号,基础数据表
bas_customer,bank_account,VARCHAR(50),YES,NO,,银行账号,基础数据表
bas_customer,bank_name,VARCHAR(100),YES,NO,,开户银行,基础数据表
bas_customer,remark,VARCHAR(500),YES,NO,,备注,基础数据表
bas_customer,sort_order,INTEGER,YES,NO,0,排序号,基础数据表
bas_customer,created_by,VARCHAR(50),YES,NO,,创建人,基础数据表
bas_customer,created_at,DATETIME,YES,NO,,创建时间,基础数据表
bas_customer,updated_at,DATETIME,YES,NO,,更新时间,基础数据表
master_production_line,line_id,INTEGER,NO,YES,auto_increment,主键,基础数据表
master_production_line,line_code,VARCHAR(50),NO,NO,,产线编码,基础数据表
master_production_line,line_name,VARCHAR(100),NO,NO,,产线名称,基础数据表
master_production_line,workshop,VARCHAR(50),YES,NO,,所属车间,基础数据表
master_production_line,line_leader,VARCHAR(50),YES,NO,,负责人,基础数据表
master_production_line,sort_order,INTEGER,YES,NO,0,排序号,基础数据表
master_production_line,status,TINYINT,YES,NO,1,状态(1运行/2维护/0停用),基础数据表
master_production_line,created_at,DATETIME,YES,NO,,创建时间,基础数据表
master_production_line,updated_at,DATETIME,YES,NO,,更新时间,基础数据表
master_process,process_id,INTEGER,NO,YES,auto_increment,主键,基础数据表
master_process,process_code,VARCHAR(30),NO,NO,,工序编码,基础数据表
master_process,process_name,VARCHAR(50),NO,NO,,工序名称,基础数据表
master_process,sort_order,INTEGER,YES,NO,0,排序号,基础数据表
master_process,has_material,TINYINT,YES,NO,0,是否引入物料,基础数据表
master_process,status,TINYINT,YES,NO,1,状态(1启用/0停用),基础数据表
master_process,created_at,DATETIME,YES,NO,,创建时间,基础数据表
master_process,updated_at,DATETIME,YES,NO,,更新时间,基础数据表
bas_line_process,id,INTEGER,NO,YES,auto_increment,主键,基础数据表
bas_line_process,line_id,INTEGER,NO,NO,,产线ID,基础数据表
bas_line_process,process_id,INTEGER,NO,NO,,工序ID,基础数据表
bas_line_process,sort_order,INTEGER,YES,NO,0,排序号,基础数据表
bas_line_process,status,TINYINT,NO,NO,1,状态,基础数据表
bas_line_process,created_at,DATETIME,YES,NO,,创建时间,基础数据表
bas_line_process,updated_at,DATETIME,YES,NO,,更新时间,基础数据表
master_device,device_id,INTEGER,NO,YES,auto_increment,主键,基础数据表
master_device,device_code,VARCHAR(50),NO,NO,,设备编码,基础数据表
master_device,device_name,VARCHAR(100),NO,NO,,设备名称,基础数据表
master_device,device_type,VARCHAR(50),YES,NO,,设备类型,基础数据表
