主分类代码,分类名称,料号,品名,规格,单位名称,菲林编号,开料尺寸,印刷工艺,分色信息,落料直径,材料厚度,材料宽度,材料高度,边角料重量,库存单位重量,库存单位体积,重量单位,体积单位,存货分类,单位编码,是否生效,生效日期,失效日期
卷铁,卷铁,Y40-028-0003,卷铁,T4CA-0.28×802(W)?  2.8/2.8 R2 #,吨,,0,,,0,0,0,0,,0,0,吨,立方米,通用,W015,√,2021.07.01,9999.12.31
卷铁,卷铁,Y40-025-003,卷铁,T4CA-0.25×802(W)?2.8/2.8?R2 #,吨,,,,,0,0,0,0,,0,0,吨,立方米,通用,W015,√,2021.07.01,9999.12.31
502罐身涂印铁大料,502罐身涂印铁大料,T15-001-0338,800g伊利中老年配方奶粉-打样大料片,T4CA-0.21×802×889  2.8/2.8 R2（武钢）,张,A001338F,398.8×176.5,白瓷+光油,四色+两专色,0,0,0,0,,"1,320.00",0.00016822,克,立方米,销售,ZHANG,√,2026.07.02,9999.12.31
502罐身涂印铁大料,502罐身涂印铁大料,T15-001-0667,800g伊利欣活中老年奶粉-打样大料片,T4CA-0.21×802×889  2.8/2.8 R2（武钢）,张,A001667F,398.8×176.5,白墨+光油,四色+四专,0,0,0,0,,"1,320.00",0.00016822,克,立方米,销售,ZHANG,√,2026.07.02,9999.12.31
502罐身涂印铁大料,502罐身涂印铁大料,T15-003-0001,502#155素罐-澳优打样大料片,T4CA 0.23×802(W)×810 2.8/2.8 R2 #,张,,,,,0,0,0,0,,"1,320.00",0.00016822,克,立方米,销售,ZHANG,√,2026.07.02,9999.12.31
401罐身涂印铁大料,401罐身涂印铁大料,T14-003-0001,401#120素罐-澳优打样大料片,T4CA-0.23×943(W)×870 2.8/2.8 R2 #,张,,,,,0,0,0,0,,"1,320.00",0.00016822,克,立方米,销售,ZHANG,√,2026.07.02,9999.12.31
马口铁,马口铁,Y20-021-0002,马口铁,T4CA-0.21×802×889  2.8/2.8 R2（武钢）,张,,,,,,0.21,802,889,,"1,544.21",0.000196715,克,立方米,销售,ZHANG,√,2025.03.18,9999.12.30
502成品罐,502成品罐,C05-001-667,欣活伊利中老年奶粉铁听 800g（贴片易撕盖减薄罐身）,502×172,罐,A001667F,398.8×176.5,白墨,四色四专,0,0,0,0,1.5,116,0.003707407,克,立方米,销售,GUAN,√,2022.10.26,9999.12.31
马口铁,马口铁,Y20-023-265,马口铁,T4CA 0.23×802(W)×810?2.8/2.8?R2 #,张,,,,,0,0.23,802,810,,"1,172.89",0,克,立方米,销售,ZHANG,√,2021.11.01,9999.03.30
502成品罐,502成品罐,C05-001-0338,800g伊利中老年配方奶粉-打样,502×172,罐,A001338F,398.8×176.5,白瓷,4色+2专,0,0.21,802,889,1.5,134,0.003531429,克,立方米,销售,GUAN,√,2022.08.16,9999.12.31
